year,catch_mton,CPUE_JPN_early,CPUE_JPN_late,CPUE_KOR,CPUE_RUS,CPUE_CT,CPUE_CHN,Joint_CPUE
1980,238510,0.72,,,,,,
1981,204263,0.63,,,,,,
1982,244700,0.46,,,,,,
1983,257861,0.87,,,,,,
1984,247044,0.81,,,,,,
1985,281860,1.4,,,,,,
1986,260455,1.13,,,,,,
1987,235510,0.97,,,,,,
1988,356989,2.36,,,,,,
1989,330592,3.06,,,,,,
1990,435869,1.95,,,,,,
1991,399017,3.13,,,,,,
1992,383999,4.32,,,,,,
1993,402185,3.25,,,,,,
1994,332509,,3.07,,17.7,,,
1995,343743,,2.16,,20.4,,,
1996,266424,,1.67,,15,,,
1997,370017,,3.74,,11.3,,,
1998,176364,,1.07,,12.4,,,
1999,176498,,0.8,,11.2,,,
2000,286186,,1.43,,16.1,,,
2001,370823,,2.12,7.29,20.9,1.58,,0.73
2002,328362,,1.17,8.43,19.6,1.63,,0.58
2003,444642,,2.19,12.75,28.5,2.68,,1.11
2004,369400,,2.61,9.05,43.9,1.46,,1.25
2005,473907,,4.47,14.27,46.4,2.4,,1.67
2006,394093,,4.09,13.23,32.3,1.27,,0.7
2007,520207,,3.89,12.5,40.7,2.36,,1.1
2008,617509,,5.02,16.54,41,2.92,,1.52
2009,472177,,3.73,8.63,20.6,1.58,,0.82
2010,429808,,1.55,12.88,22.3,1.94,,0.85
2011,456263,,2.4,9.4,26.1,2.51,,1.17
2012,460544,,2.39,8.21,23.2,2.47,,1.04
2013,423790.3,,1.44,8.89,20.9,2.8,13.96,0.87
2014,629576.4,,2.52,15.01,23.8,3.64,16.22,1.39
2015,358882.7,,1.34,6.86,15.3,2.44,17.74,0.89
2016,361687.6,,1.52,9.47,15.9,2.45,9.31,0.75
2017,262639.4,,1.08,6.16,8.3,1.85,8.53,0.85
2018,439079,,1.45,8.12,21,3.1,15.9,1.26
2019,192377,,0.68,5.3,6.6,1.41,6.91,0.45
