year,region,gear,country,species,catch_mton
2020,CA,stick_held_dip_net,China,pacific_saury,44005.926
2019,CA,stick_held_dip_net,China,pacific_saury,51404
2018,CA,stick_held_dip_net,China,pacific_saury,90338.636
2017,CA,stick_held_dip_net,China,pacific_saury,48458.42
2016,CA,stick_held_dip_net,China,pacific_saury,63015.594
2015,CA,stick_held_dip_net,China,pacific_saury,48502.748
2014,CA,stick_held_dip_net,China,pacific_saury,76129.44
2013,CA,stick_held_dip_net,China,pacific_saury,23191.3
2012,CA,stick_held_dip_net,China,pacific_saury,2014
2018,CA,others,China,pacific_saury,26
2020,CA,stick_held_dip_net,Japan,pacific_saury,17430
2019,CA,stick_held_dip_net,Japan,pacific_saury,20986
2018,CA,stick_held_dip_net,Japan,pacific_saury,46859
2017,CA,stick_held_dip_net,Japan,pacific_saury,15594
2016,CA,stick_held_dip_net,Japan,pacific_saury,19384
2015,CA,stick_held_dip_net,Japan,pacific_saury,31534
2014,CA,stick_held_dip_net,Japan,pacific_saury,5784
2013,CA,stick_held_dip_net,Japan,pacific_saury,8085
2012,CA,stick_held_dip_net,Japan,pacific_saury,1228
2011,CA,stick_held_dip_net,Japan,pacific_saury,1207.926911
2010,CA,stick_held_dip_net,Japan,pacific_saury,2858.870242
2009,CA,stick_held_dip_net,Japan,pacific_saury,722
2008,CA,stick_held_dip_net,Japan,pacific_saury,1124.463
2007,CA,stick_held_dip_net,Japan,pacific_saury,267.167
2006,CA,stick_held_dip_net,Japan,pacific_saury,0
2005,CA,stick_held_dip_net,Japan,pacific_saury,0
2004,CA,stick_held_dip_net,Japan,pacific_saury,0
2003,CA,stick_held_dip_net,Japan,pacific_saury,0
2002,CA,stick_held_dip_net,Japan,pacific_saury,0
2001,CA,stick_held_dip_net,Japan,pacific_saury,0
2000,CA,stick_held_dip_net,Japan,pacific_saury,0
1999,CA,stick_held_dip_net,Japan,pacific_saury,0
1998,CA,stick_held_dip_net,Japan,pacific_saury,4116.172634
1997,CA,stick_held_dip_net,Japan,pacific_saury,0
1996,CA,stick_held_dip_net,Japan,pacific_saury,0
1995,CA,stick_held_dip_net,Japan,pacific_saury,0
2020,NW,stick_held_dip_net,Japan,pacific_saury,12123
2019,NW,stick_held_dip_net,Japan,pacific_saury,21643
2018,NW,stick_held_dip_net,Japan,pacific_saury,81598
2017,NW,stick_held_dip_net,Japan,pacific_saury,68006
2016,NW,stick_held_dip_net,Japan,pacific_saury,94344
2015,NW,stick_held_dip_net,Japan,pacific_saury,84214
2014,NW,stick_held_dip_net,Japan,pacific_saury,220426
2013,NW,stick_held_dip_net,Japan,pacific_saury,139665
2012,NW,stick_held_dip_net,Japan,pacific_saury,217426
2011,NW,stick_held_dip_net,Japan,pacific_saury,212734.1281
2010,NW,stick_held_dip_net,Japan,pacific_saury,202939
2009,NW,stick_held_dip_net,Japan,pacific_saury,305887
2008,NW,stick_held_dip_net,Japan,pacific_saury,345866
2007,NW,stick_held_dip_net,Japan,pacific_saury,290326
2006,NW,stick_held_dip_net,Japan,pacific_saury,239239
2005,NW,stick_held_dip_net,Japan,pacific_saury,229970
2004,NW,stick_held_dip_net,Japan,pacific_saury,199208
2003,NW,stick_held_dip_net,Japan,pacific_saury,255518
2002,NW,stick_held_dip_net,Japan,pacific_saury,199111
2001,NW,stick_held_dip_net,Japan,pacific_saury,263882
2000,NW,stick_held_dip_net,Japan,pacific_saury,210656
1999,NW,stick_held_dip_net,Japan,pacific_saury,135170
1998,NW,stick_held_dip_net,Japan,pacific_saury,135595.8274
1997,NW,stick_held_dip_net,Japan,pacific_saury,284410
1996,NW,stick_held_dip_net,Japan,pacific_saury,213590
1995,NW,stick_held_dip_net,Japan,pacific_saury,267276
2020,NW,others,Japan,pacific_saury,9
2019,NW,others,Japan,pacific_saury,161
2018,NW,others,Japan,pacific_saury,74
2017,NW,others,Japan,pacific_saury,71
2016,NW,others,Japan,pacific_saury,100
2015,NW,others,Japan,pacific_saury,495
2014,NW,others,Japan,pacific_saury,1310
2013,NW,others,Japan,pacific_saury,1454
2012,NW,others,Japan,pacific_saury,2815
2011,NW,others,Japan,pacific_saury,1411
2010,NW,others,Japan,pacific_saury,1691
2009,NW,others,Japan,pacific_saury,4134
2008,NW,others,Japan,pacific_saury,7737
2007,NW,others,Japan,pacific_saury,5930
2006,NW,others,Japan,pacific_saury,5346
2005,NW,others,Japan,pacific_saury,4481
2004,NW,others,Japan,pacific_saury,5163
2003,NW,others,Japan,pacific_saury,9283
2002,NW,others,Japan,pacific_saury,6171
2001,NW,others,Japan,pacific_saury,5916
2000,NW,others,Japan,pacific_saury,5814
1999,NW,others,Japan,pacific_saury,5841
1998,NW,others,Japan,pacific_saury,5271
1997,NW,others,Japan,pacific_saury,6403
1996,NW,others,Japan,pacific_saury,15635
1995,NW,others,Japan,pacific_saury,6234
2020,CA,stick_held_dip_net,Korea,pacific_saury,5993
2019,CA,stick_held_dip_net,Korea,pacific_saury,8375
2018,CA,stick_held_dip_net,Korea,pacific_saury,"20,759"
2017,CA,stick_held_dip_net,Korea,pacific_saury,12471
2016,CA,stick_held_dip_net,Korea,pacific_saury,9883
2015,CA,stick_held_dip_net,Korea,pacific_saury,5466
2014,CA,stick_held_dip_net,Korea,pacific_saury,16129
2013,CA,stick_held_dip_net,Korea,pacific_saury,17666
2012,CA,stick_held_dip_net,Korea,pacific_saury,7068
2011,CA,stick_held_dip_net,Korea,pacific_saury,14061
2010,CA,stick_held_dip_net,Korea,pacific_saury,9031
2009,CA,stick_held_dip_net,Korea,pacific_saury,10008
2008,CA,stick_held_dip_net,Korea,pacific_saury,19004
2007,CA,stick_held_dip_net,Korea,pacific_saury,7625
2006,CA,stick_held_dip_net,Korea,pacific_saury,3303
2005,CA,stick_held_dip_net,Korea,pacific_saury,31175
2004,CA,stick_held_dip_net,Korea,pacific_saury,18082
2003,CA,stick_held_dip_net,Korea,pacific_saury,20146
2002,CA,stick_held_dip_net,Korea,pacific_saury,10676
2001,CA,stick_held_dip_net,Korea,pacific_saury,5401
2000,Composite,composite,Korea,pacific_saury,24457
1999,Composite,composite,Korea,pacific_saury,18138
1998,Composite,composite,Korea,pacific_saury,13922
1997,Composite,composite,Korea,pacific_saury,50227
1996,Composite,composite,Korea,pacific_saury,18681
1995,Composite,composite,Korea,pacific_saury,31321
2020,NW,stick_held_dip_net,Korea,pacific_saury,0
2019,NW,stick_held_dip_net,Korea,pacific_saury,0
2018,NW,stick_held_dip_net,Korea,pacific_saury,"2,943"
2017,NW,stick_held_dip_net,Korea,pacific_saury,2882
2016,NW,stick_held_dip_net,Korea,pacific_saury,6945
2015,NW,stick_held_dip_net,Korea,pacific_saury,5738
2014,NW,stick_held_dip_net,Korea,pacific_saury,7302
2013,NW,stick_held_dip_net,Korea,pacific_saury,2389
2012,NW,stick_held_dip_net,Korea,pacific_saury,6893
2011,NW,stick_held_dip_net,Korea,pacific_saury,4007
2010,NW,stick_held_dip_net,Korea,pacific_saury,12329
2009,NW,stick_held_dip_net,Korea,pacific_saury,11993
2008,NW,stick_held_dip_net,Korea,pacific_saury,11208
2007,NW,stick_held_dip_net,Korea,pacific_saury,9351
2006,NW,stick_held_dip_net,Korea,pacific_saury,8706
2005,NW,stick_held_dip_net,Korea,pacific_saury,9334
2004,NW,stick_held_dip_net,Korea,pacific_saury,4861
2003,NW,stick_held_dip_net,Korea,pacific_saury,11073
2002,NW,stick_held_dip_net,Korea,pacific_saury,9412
2001,NW,stick_held_dip_net,Korea,pacific_saury,15468
2020,CA,stick_held_dip_net,Russia,pacific_saury,442.672
2019,CA,stick_held_dip_net,Russia,pacific_saury,1682.921
2018,CA,stick_held_dip_net,Russia,pacific_saury,5458.569
2017,CA,stick_held_dip_net,Russia,pacific_saury,3657.563
2016,CA,stick_held_dip_net,Russia,pacific_saury,2462.757
2015,CA,stick_held_dip_net,Russia,pacific_saury,4641
2014,CA,stick_held_dip_net,Russia,pacific_saury,7219
2013,CA,stick_held_dip_net,Russia,pacific_saury,229.117
2012,CA,stick_held_dip_net,Russia,pacific_saury,1494
2011,CA,stick_held_dip_net,Russia,pacific_saury,1616
2010,CA,stick_held_dip_net,Russia,pacific_saury,2100
2009,CA,stick_held_dip_net,Russia,pacific_saury,700
2008,CA,stick_held_dip_net,Russia,pacific_saury,16200
2007,CA,stick_held_dip_net,Russia,pacific_saury,15700
2006,CA,stick_held_dip_net,Russia,pacific_saury,17900
2005,CA,stick_held_dip_net,Russia,pacific_saury,34100
2004,CA,stick_held_dip_net,Russia,pacific_saury,8300
2003,CA,stick_held_dip_net,Russia,pacific_saury,0
2020,NW,stick_held_dip_net,Russia,pacific_saury,310.334
2019,NW,stick_held_dip_net,Russia,pacific_saury,719.164
2018,NW,stick_held_dip_net,Russia,pacific_saury,2325.38
2017,NW,stick_held_dip_net,Russia,pacific_saury,2633.148
2016,NW,stick_held_dip_net,Russia,pacific_saury,12136.156
2015,NW,stick_held_dip_net,Russia,pacific_saury,19323
2014,NW,stick_held_dip_net,Russia,pacific_saury,63996
2013,NW,stick_held_dip_net,Russia,pacific_saury,52100.362
