year,region,gear,country,species,fishingdays,vessels
2020,CA,Stick_held_dip_net,China,Pacific_saury,8846,57
2019,CA,Stick_held_dip_net,China,Pacific_saury,8964,62
2018,CA,Stick_held_dip_net,China,Pacific_saury,5057,49
2018,CA,others,China,Pacific_saury,158,3
2017,CA,Stick_held_dip_net,China,Pacific_saury,6788,55
2016,CA,Stick_held_dip_net,China,Pacific_saury,8226,60
2015,CA,Stick_held_dip_net,China,Pacific_saury,3816,42
2014,CA,Stick_held_dip_net,China,Pacific_saury,6435,44
2013,CA,Stick_held_dip_net,China,Pacific_saury,2187,19
2012,CA,Stick_held_dip_net,China,Pacific_saury,274,2
2020,CA,Stick_held_dip_net,Japan,Pacific_saury,2124,98
2019,CA,Stick_held_dip_net,Japan,Pacific_saury,1733,111
2018,CA,Stick_held_dip_net,Japan,Pacific_saury,1415,125
2017,CA,Stick_held_dip_net,Japan,Pacific_saury,1019,102
2016,CA,Stick_held_dip_net,Japan,Pacific_saury,1311,96
2015,CA,Stick_held_dip_net,Japan,Pacific_saury,2815,72
2014,CA,Stick_held_dip_net,Japan,Pacific_saury,563,32
2013,CA,Stick_held_dip_net,Japan,Pacific_saury,540,47
2012,CA,Stick_held_dip_net,Japan,Pacific_saury,389,22
2011,CA,Stick_held_dip_net,Japan,Pacific_saury,373,12
2010,CA,Stick_held_dip_net,Japan,Pacific_saury,391,19
2009,CA,Stick_held_dip_net,Japan,Pacific_saury,223,4
2008,CA,Stick_held_dip_net,Japan,Pacific_saury,146,2
2007,CA,Stick_held_dip_net,Japan,Pacific_saury,62,1
2006,CA,Stick_held_dip_net,Japan,Pacific_saury,0,0
2005,CA,Stick_held_dip_net,Japan,Pacific_saury,0,0
2004,CA,Stick_held_dip_net,Japan,Pacific_saury,0,0
2003,CA,Stick_held_dip_net,Japan,Pacific_saury,0,0
2002,CA,Stick_held_dip_net,Japan,Pacific_saury,0,0
2001,CA,Stick_held_dip_net,Japan,Pacific_saury,0,0
2000,CA,Stick_held_dip_net,Japan,Pacific_saury,0,0
1999,CA,Stick_held_dip_net,Japan,Pacific_saury,0,0
1998,CA,Stick_held_dip_net,Japan,Pacific_saury,36,24
2020,NW,Stick_held_dip_net,Japan,Pacific_saury,NA,NA
2019,NW,Stick_held_dip_net,Japan,Pacific_saury,1945,183
2018,NW,Stick_held_dip_net,Japan,Pacific_saury,3741,191
2017,NW,Stick_held_dip_net,Japan,Pacific_saury,6550,197
2016,NW,Stick_held_dip_net,Japan,Pacific_saury,7140,209
2015,NW,Stick_held_dip_net,Japan,Pacific_saury,7338,208
2014,NW,Stick_held_dip_net,Japan,Pacific_saury,9570,210
2013,NW,Stick_held_dip_net,Japan,Pacific_saury,8559,217
2012,NW,Stick_held_dip_net,Japan,Pacific_saury,10348,218
2011,NW,Stick_held_dip_net,Japan,Pacific_saury,7650,214
2010,NW,Stick_held_dip_net,Japan,Pacific_saury,12309,236
2009,NW,Stick_held_dip_net,Japan,Pacific_saury,11058,239
2008,NW,Stick_held_dip_net,Japan,Pacific_saury,10385,239
2007,NW,Stick_held_dip_net,Japan,Pacific_saury,10848,247
2006,NW,Stick_held_dip_net,Japan,Pacific_saury,10182,258
2005,NW,Stick_held_dip_net,Japan,Pacific_saury,10151,288
2004,NW,Stick_held_dip_net,Japan,Pacific_saury,11963,314
2003,NW,Stick_held_dip_net,Japan,Pacific_saury,15700,324
2002,NW,Stick_held_dip_net,Japan,Pacific_saury,21255,370
2001,NW,Stick_held_dip_net,Japan,Pacific_saury,17212,379
2000,NW,Stick_held_dip_net,Japan,Pacific_saury,24931,394
1999,NW,Stick_held_dip_net,Japan,Pacific_saury,NA,239
1998,NW,Stick_held_dip_net,Japan,Pacific_saury,NA,242
1997,NW,Stick_held_dip_net,Japan,Pacific_saury,NA,252
1996,NW,Stick_held_dip_net,Japan,Pacific_saury,NA,262
1995,NW,Stick_held_dip_net,Japan,Pacific_saury,NA,284
2020,CA,Stick_held_dip_net,Korea,Pacific_saury,567,10
2019,CA,Stick_held_dip_net,Korea,Pacific_saury,583,11
2018,CA,Stick_held_dip_net,Korea,Pacific_saury,723,12
2017,CA,Stick_held_dip_net,Korea,Pacific_saury,724,13
2016,CA,Stick_held_dip_net,Korea,Pacific_saury,704,14
2015,CA,Stick_held_dip_net,Korea,Pacific_saury,1314,13
2014,CA,Stick_held_dip_net,Korea,Pacific_saury,1918,13
2013,CA,Stick_held_dip_net,Korea,Pacific_saury,2186,14
2012,CA,Stick_held_dip_net,,Pacific_saury,NA,13
2011,CA,Stick_held_dip_net,,Pacific_saury,NA,15
2010,CA,Stick_held_dip_net,,Pacific_saury,NA,17
2009,CA,Stick_held_dip_net,,Pacific_saury,NA,17
2008,CA,Stick_held_dip_net,,Pacific_saury,NA,16
2007,CA,Stick_held_dip_net,,Pacific_saury,NA,15
2006,CA,Stick_held_dip_net,,Pacific_saury,NA,13
2005,CA,Stick_held_dip_net,,Pacific_saury,NA,18
