year,jurisdiction,gear,catch_tonnes,,,
1980,composite,composite,35345,,,
1981,composite,composite,36131,,,
1982,composite,composite,29465,,,
1983,composite,composite,36540,,,
1984,composite,composite,23898,,,
1985,composite,composite,14428,,,
1986,composite,composite,25012,,,
1987,composite,composite,32939,,,
1988,composite,composite,33802,,,
1989,composite,composite,43293,,,
1990,composite,composite,72517,,,
1991,federal,trawl,"58,093",,,
1992,federal,trawl,"54,593",,,
1993,federal,trawl,"37,806",,,
1994,federal,trawl,"31,447",,,
1995,federal,trawl,"41,875",,,
1996,federal,trawl,"45,991",,,
1997,federal,trawl,"48,406",,,
1998,federal,trawl,"41,570",,,
1999,federal,trawl,"37,167",,,
2000,federal,trawl,"25,443",,,
2001,federal,trawl,"24,383",,,
2002,federal,trawl,"19,810",,,
2003,federal,trawl,"18,884",,,
2004,federal,trawl,"17,513",,,
2005,federal,trawl,"14,549",,,
2006,federal,trawl,"13,132",,,
2007,federal,trawl,"14,775",,,
2008,federal,trawl,"20,293",,,
2009,federal,trawl,"13,976",,,
2010,federal,trawl,"21,765",,,
2011,federal,trawl,"16,453",,,
2012,federal,trawl,"20,072",,,
2013,federal,trawl,"21,700",,,
2014,federal,trawl,"26,798",,,
2015,federal,trawl,"22,269",,,
2016,federal,trawl,"15,217",,,
2017,federal,trawl,"13,041",,,
2018,federal,trawl,"3,817",,,
2019,federal,trawl,"4,537",,,
2020,federal,trawl,"3,040",,,
1991,federal,longline,"7,656",,,
1992,federal,longline,"15,675",,,
1993,federal,longline,"8,963",,,
1994,federal,longline,"6,778",,,
1995,federal,longline,"10,978",,,
1996,federal,longline,"10,196",,,
1997,federal,longline,"10,978",,,
1998,federal,longline,"10,012",,,
1999,federal,longline,"12,363",,,
2000,federal,longline,"11,660",,,
2001,federal,longline,"9,910",,,
2002,federal,longline,"14,666",,,
2003,federal,longline,"9,525",,,
2004,federal,longline,"10,326",,,
2005,federal,longline,"5,732",,,
2006,federal,longline,"10,244",,,
2007,federal,longline,"11,539",,,
2008,federal,longline,"12,106",,,
2009,federal,longline,"13,968",,,
2010,federal,longline,"16,540",,,
2011,federal,longline,"16,668",,,
2012,federal,longline,"14,467",,,
2013,federal,longline,"12,866",,,
2014,federal,longline,"14,749",,,
2015,federal,longline,"13,054",,,
2016,federal,longline,"8,153",,,
2017,federal,longline,"8,978",,,
2018,federal,longline,2964,,,
2019,federal,longline,"2,737",,,
2020,federal,longline,455,,,
1991,federal,pot,"10,464",,,
1992,federal,pot,"10,154",,,
1993,federal,pot,"9,708",,,
1994,federal,pot,"9,161",,,
1995,federal,pot,"16,055",,,
1996,federal,pot,"12,040",,,
1997,federal,pot,"9,065",,,
1998,federal,pot,"10,510",,,
1999,federal,pot,"19,015",,,
2000,federal,pot,"17,351",,,
2001,federal,pot,"7,171",,,
2002,federal,pot,"7,694",,,
2003,federal,pot,"12,765",,,
2004,federal,pot,"14,966",,,
2005,federal,pot,"14,749",,,
2006,federal,pot,"14,540",,,
2007,federal,pot,"13,573",,,
2008,federal,pot,"11,230",,,
2009,federal,pot,"11,951",,,
2010,federal,pot,"20,116",,,
2011,federal,pot,"29,233",,,
2012,federal,pot,"21,238",,,
2013,federal,pot,"17,011",,,
2014,federal,pot,"19,957",,,
2015,federal,pot,"20,653",,,
2016,federal,pot,"19,248",,,
2017,federal,pot,"13,426",,,
2018,federal,pot,4014,,,
2019,federal,pot,"3,732",,,
2020,federal,pot,11,,,
1991,federal,other,115,,,
1992,federal,other,325,,,
1993,federal,other,11,,,
1994,federal,other,100,,,
1995,federal,other,77,,,
1996,federal,other,53,,,
1997,federal,other,26,,,
1998,federal,other,29,,,
1999,federal,other,70,,,
2000,federal,other,54,,,
2001,federal,other,155,,,
2002,federal,other,176,,,
2003,federal,other,161,,,
2004,federal,other,400,,,
2005,federal,other,203,,,
2006,federal,other,118,,,
2007,federal,other,44,,,
2008,federal,other,63,,,
2009,federal,other,206,,,
2010,federal,other,429,,,
2011,federal,other,722,,,
2012,federal,other,722,,,
2013,federal,other,476,,,
2014,federal,other,"1,046",,,
2015,federal,other,408,,,
2016,federal,other,346,,,
2017,federal,other,67,,,
2018,federal,other,121,,,
2019,federal,other,178,,,
2020,federal,other,0,,,
1991,state,longline,0,,,
1992,state,longline,0,,,
1993,state,longline,0,,,
1994,state,longline,0,,,
1995,state,longline,0,,,
1996,state,longline,0,,,
1997,state,longline,0,,,
1998,state,longline,0,,,
1999,state,longline,0,,,
2000,state,longline,0,,,
